sample_id,task_id,problem_id,model_name,model_id,prompt_name,repeat_idx,base_status,plus_status,base_passed,plus_passed,original_humaneval_passed,base_agrees_with_original
humaneval_000__claude_model__basic__r1.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,basic,1,pass,pass,True,True,True,True
humaneval_000__claude_model__basic__r2.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,basic,2,pass,pass,True,True,True,True
humaneval_000__claude_model__basic__r3.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,basic,3,pass,pass,True,True,True,True
humaneval_000__claude_model__basic__r4.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,basic,4,pass,pass,True,True,True,True
humaneval_000__claude_model__basic__r5.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,basic,5,pass,pass,True,True,True,True
humaneval_000__claude_model__concise__r1.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,concise,1,pass,pass,True,True,True,True
humaneval_000__claude_model__concise__r2.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,concise,2,pass,pass,True,True,True,True
humaneval_000__claude_model__concise__r3.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,concise,3,pass,pass,True,True,True,True
humaneval_000__claude_model__concise__r4.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,concise,4,pass,pass,True,True,True,True
humaneval_000__claude_model__concise__r5.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,concise,5,pass,pass,True,True,True,True
humaneval_000__claude_model__constraint__r1.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,constraint,1,pass,pass,True,True,True,True
humaneval_000__claude_model__constraint__r2.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,constraint,2,pass,pass,True,True,True,True
humaneval_000__claude_model__constraint__r3.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,constraint,3,pass,pass,True,True,True,True
humaneval_000__claude_model__constraint__r4.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,constraint,4,pass,pass,True,True,True,True
humaneval_000__claude_model__constraint__r5.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,constraint,5,pass,pass,True,True,True,True
humaneval_000__claude_model__optimized__r1.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,optimized,1,pass,pass,True,True,True,True
humaneval_000__claude_model__optimized__r2.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,optimized,2,pass,pass,True,True,True,True
humaneval_000__claude_model__optimized__r3.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,optimized,3,pass,pass,True,True,True,True
humaneval_000__claude_model__optimized__r4.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,optimized,4,pass,pass,True,True,True,True
humaneval_000__claude_model__optimized__r5.json,HumanEval/0,humaneval_000,claude_model,claude-sonnet-4-6,optimized,5,pass,pass,True,True,True,True
