problem_id,task_id,model_name,model_id,provider,num_prompt_types,num_valid_prompt_vectors,num_prompt_pairs,avg_prompt_distance,pssi,success_rate
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.03862861963103222,0.03862861963103222,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-flash,deepseek,5,5,10,0.47840743653654616,0.47840743653654616,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,5,5,10,0.43580032531505114,0.43580032531505114,0.96
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.0,0.0,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-flash,deepseek,5,5,10,0.5232124118997961,0.5232124118997961,1.0
humaneval_001,HumanEval/1,gpt5_model,gpt-5-mini,openai,5,5,10,0.43959455638897094,0.43959455638897094,1.0
humaneval_002,HumanEval/2,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.14893772350578777,0.14893772350578777,1.0
humaneval_002,HumanEval/2,deepseek_model,deepseek-flash,deepseek,5,5,10,0.2703203573544055,0.2703203573544055,1.0
humaneval_002,HumanEval/2,gpt5_model,gpt-5-mini,openai,5,5,10,0.6372238048909816,0.6372238048909816,0.92
humaneval_003,HumanEval/3,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.0,0.0,1.0
humaneval_003,HumanEval/3,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0,0.0,1.0
humaneval_003,HumanEval/3,gpt5_model,gpt-5-mini,openai,5,5,10,1.0079095824064095,1.0079095824064095,1.0
humaneval_004,HumanEval/4,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.0,0.0,1.0
humaneval_004,HumanEval/4,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0,0.0,1.0
humaneval_004,HumanEval/4,gpt5_model,gpt-5-mini,openai,5,5,10,0.6984530850333317,0.6984530850333317,1.0
humaneval_005,HumanEval/5,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.02228199973679178,0.02228199973679178,1.0
humaneval_005,HumanEval/5,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0,0.0,1.0
humaneval_005,HumanEval/5,gpt5_model,gpt-5-mini,openai,5,5,10,0.5762350824273668,0.5762350824273668,1.0
humaneval_006,HumanEval/6,claude_model,claude-sonnet-4-6,anthropic,5,5,10,1.3232012710619563,1.3232012710619563,1.0
humaneval_006,HumanEval/6,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0,0.0,1.0
humaneval_006,HumanEval/6,gpt5_model,gpt-5-mini,openai,5,5,10,0.3858121592861206,0.3858121592861206,1.0
humaneval_007,HumanEval/7,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.0,0.0,1.0
humaneval_007,HumanEval/7,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0,0.0,1.0
humaneval_007,HumanEval/7,gpt5_model,gpt-5-mini,openai,5,5,10,0.654858522106759,0.654858522106759,1.0
humaneval_008,HumanEval/8,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.003547327718546045,0.003547327718546045,1.0
humaneval_008,HumanEval/8,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0,0.0,1.0
humaneval_008,HumanEval/8,gpt5_model,gpt-5-mini,openai,5,5,10,0.4209037656702951,0.4209037656702951,1.0
humaneval_009,HumanEval/9,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.0,0.0,1.0
humaneval_009,HumanEval/9,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0,0.0,1.0
humaneval_009,HumanEval/9,gpt5_model,gpt-5-mini,openai,5,5,10,0.4145401917865379,0.4145401917865379,1.0
humaneval_010,HumanEval/10,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.0,0.0,1.0
humaneval_010,HumanEval/10,deepseek_model,deepseek-flash,deepseek,5,5,10,0.07453385215920641,0.07453385215920641,1.0
humaneval_010,HumanEval/10,gpt5_model,gpt-5-mini,openai,5,5,10,0.28374057054865054,0.28374057054865054,1.0
humaneval_011,HumanEval/11,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.25528705211076747,0.25528705211076747,1.0
humaneval_011,HumanEval/11,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0,0.0,1.0
humaneval_011,HumanEval/11,gpt5_model,gpt-5-mini,openai,5,5,10,0.8333818705980229,0.8333818705980229,1.0
humaneval_012,HumanEval/12,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.0,0.0,1.0
humaneval_012,HumanEval/12,deepseek_model,deepseek-flash,deepseek,5,5,10,0.0257598265204134,0.0257598265204134,1.0
humaneval_012,HumanEval/12,gpt5_model,gpt-5-mini,openai,5,5,10,0.2959664460482622,0.2959664460482622,1.0
humaneval_013,HumanEval/13,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.04542581106664745,0.04542581106664745,1.0
humaneval_013,HumanEval/13,deepseek_model,deepseek-flash,deepseek,5,5,10,0.02097816219760844,0.02097816219760844,1.0
