problem_id,task_id,model_name,prompt_name,num_successful_candidates,baseline_file,reranked_file,baseline_repeat_idx,reranked_repeat_idx,baseline_complexity,reranked_complexity,improvement,improved
humaneval_000,HumanEval/0,claude_model,basic,5,humaneval_000__claude_model__basic__r1.json,humaneval_000__claude_model__basic__r2.json,1,2,15.071429,15.069444,0.0019849999999994594,True
humaneval_000,HumanEval/0,claude_model,concise,5,humaneval_000__claude_model__concise__r1.json,humaneval_000__claude_model__concise__r1.json,1,1,15.071429,15.071429,0.0,False
humaneval_000,HumanEval/0,claude_model,constraint,5,humaneval_000__claude_model__constraint__r1.json,humaneval_000__claude_model__constraint__r1.json,1,1,15.069444,15.069444,0.0,False
humaneval_000,HumanEval/0,claude_model,optimized,5,humaneval_000__claude_model__optimized__r1.json,humaneval_000__claude_model__optimized__r1.json,1,1,13.061538,13.061538,0.0,False
humaneval_000,HumanEval/0,claude_model,readable,5,humaneval_000__claude_model__readable__r1.json,humaneval_000__claude_model__readable__r1.json,1,1,14.064935,14.064935,0.0,False
humaneval_000,HumanEval/0,deepseek_model,basic,5,humaneval_000__deepseek_model__basic__r1.json,humaneval_000__deepseek_model__basic__r3.json,1,3,14.060606,13.063492,0.9971139999999998,True
humaneval_000,HumanEval/0,deepseek_model,concise,5,humaneval_000__deepseek_model__concise__r1.json,humaneval_000__deepseek_model__concise__r1.json,1,1,13.063492,13.063492,0.0,False
humaneval_000,HumanEval/0,deepseek_model,constraint,5,humaneval_000__deepseek_model__constraint__r1.json,humaneval_000__deepseek_model__constraint__r5.json,1,5,14.057143,13.059701,0.9974419999999995,True
humaneval_000,HumanEval/0,deepseek_model,optimized,5,humaneval_000__deepseek_model__optimized__r1.json,humaneval_000__deepseek_model__optimized__r1.json,1,1,13.063492,13.063492,0.0,False
humaneval_000,HumanEval/0,deepseek_model,readable,5,humaneval_000__deepseek_model__readable__r1.json,humaneval_000__deepseek_model__readable__r1.json,1,1,13.059701,13.059701,0.0,False
humaneval_000,HumanEval/0,gpt5_model,basic,5,humaneval_000__gpt5_model__basic__r1.json,humaneval_000__gpt5_model__basic__r1.json,1,1,16.086957,16.086957,0.0,False
