file,task_id,problem_id,model_name,prompt_name,repeat_idx,max_tokens,output_tokens
humaneval_032__gpt5_model__paraphrase__paraphrase_a__r1.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_a,1,3000,1509
humaneval_032__gpt5_model__paraphrase__paraphrase_a__r2.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_a,2,3000,1253
humaneval_032__gpt5_model__paraphrase__paraphrase_a__r4.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_a,4,3000,1338
humaneval_032__gpt5_model__paraphrase__paraphrase_a__r5.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_a,5,3000,1645
humaneval_032__gpt5_model__paraphrase__paraphrase_b__r1.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_b,1,3000,1298
humaneval_032__gpt5_model__paraphrase__paraphrase_b__r3.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_b,3,3000,1563
humaneval_032__gpt5_model__paraphrase__paraphrase_b__r5.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_b,5,3000,1340
humaneval_032__gpt5_model__paraphrase__paraphrase_c__r1.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_c,1,3000,1275
humaneval_032__gpt5_model__paraphrase__paraphrase_c__r3.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_c,3,3000,1395
humaneval_032__gpt5_model__paraphrase__paraphrase_d__r1.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_d,1,3000,1501
humaneval_032__gpt5_model__paraphrase__paraphrase_d__r2.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_d,2,3000,1232
humaneval_032__gpt5_model__paraphrase__paraphrase_d__r4.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_d,4,3000,1471
humaneval_032__gpt5_model__paraphrase__paraphrase_d__r5.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_d,5,3000,1245
humaneval_032__gpt5_model__paraphrase__paraphrase_e__r2.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_e,2,3000,1309
humaneval_032__gpt5_model__paraphrase__paraphrase_e__r5.json,HumanEval/32,humaneval_032,gpt5_model,paraphrase_e,5,3000,1344
humaneval_129__gpt5_model__paraphrase__paraphrase_d__r4.json,HumanEval/129,humaneval_129,gpt5_model,paraphrase_d,4,3000,1265
humaneval_130__gpt5_model__paraphrase__paraphrase_e__r1.json,HumanEval/130,humaneval_130,gpt5_model,paraphrase_e,1,3000,2113
humaneval_130__gpt5_model__paraphrase__paraphrase_e__r2.json,HumanEval/130,humaneval_130,gpt5_model,paraphrase_e,2,3000,1320
humaneval_132__gpt5_model__paraphrase__paraphrase_e__r3.json,HumanEval/132,humaneval_132,gpt5_model,paraphrase_e,3,3000,1528
