problem_id,task_id,model_name,model_id,provider,num_samples,num_valid_vectors,structural_variance,sds,success_rate
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,25,25,0.04621761142635192,0.4367679269705259,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-chat,deepseek,25,25,0.027664916976887832,0.30189527038688574,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,25,25,0.1379927797881216,0.7340939561531091,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,25,25,0.07756389172834999,0.5127214026187525,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-chat,deepseek,25,25,0.08107613074522277,0.6310705840910953,1.0
humaneval_001,HumanEval/1,gpt5_model,gpt-5-mini,openai,25,25,0.13936426738601096,0.721923327282662,1.0
humaneval_002,HumanEval/2,claude_model,claude-sonnet-4-6,anthropic,25,25,0.06978463027241084,0.5592751135075459,1.0
humaneval_002,HumanEval/2,deepseek_model,deepseek-chat,deepseek,25,25,0.024972176501015568,0.28201262086582146,1.0
humaneval_002,HumanEval/2,gpt5_model,gpt-5-mini,openai,25,25,0.19657825100909693,0.9145360359392669,1.0
humaneval_003,HumanEval/3,claude_model,claude-sonnet-4-6,anthropic,25,25,0.000977589947785617,0.055931098978242576,1.0
humaneval_003,HumanEval/3,deepseek_model,deepseek-chat,deepseek,25,25,6.162975822039155e-34,5.551115123125783e-17,1.0
humaneval_003,HumanEval/3,gpt5_model,gpt-5-mini,openai,25,25,0.31155354993604983,1.0837793307816384,1.0
humaneval_004,HumanEval/4,claude_model,claude-sonnet-4-6,anthropic,25,25,0.10126248491622894,0.674232924799091,1.0
humaneval_004,HumanEval/4,deepseek_model,deepseek-chat,deepseek,25,25,0.17531600725126498,0.908920760314758,1.0
humaneval_004,HumanEval/4,gpt5_model,gpt-5-mini,openai,25,25,0.33338815998099225,1.2419083408676046,1.0
humaneval_005,HumanEval/5,claude_model,claude-sonnet-4-6,anthropic,25,25,0.00015054073261456423,0.026881136816546806,1.0
humaneval_005,HumanEval/5,deepseek_model,deepseek-chat,deepseek,25,25,0.05472753553708781,0.4937306375411049,1.0
humaneval_005,HumanEval/5,gpt5_model,gpt-5-mini,openai,25,25,0.10780738485584333,0.7038243023166614,1.0
humaneval_006,HumanEval/6,claude_model,claude-sonnet-4-6,anthropic,25,25,0.37955629628947013,1.3488860486423737,1.0
humaneval_006,HumanEval/6,deepseek_model,deepseek-chat,deepseek,25,25,0.00027621498617756647,0.02016403877335533,1.0
humaneval_006,HumanEval/6,gpt5_model,gpt-5-mini,openai,25,25,0.05253531824611287,0.43082806738489937,1.0
humaneval_007,HumanEval/7,claude_model,claude-sonnet-4-6,anthropic,25,25,0.08567271375278887,0.5238908627503366,1.0
humaneval_007,HumanEval/7,deepseek_model,deepseek-chat,deepseek,25,25,0.1035198347855129,0.6460371639493353,1.0
humaneval_007,HumanEval/7,gpt5_model,gpt-5-mini,openai,25,25,0.2641169936405319,1.0555974069832574,1.0
humaneval_008,HumanEval/8,claude_model,claude-sonnet-4-6,anthropic,25,25,0.07982621958175957,0.5057196688429221,1.0
