problem_id,task_id,model_name,model_id,provider,num_prompt_types,num_valid_prompt_vectors,num_prompt_pairs,avg_prompt_distance,pssi,success_rate
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.6329133629568042,0.6329133629568042,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-chat,deepseek,5,5,10,0.3480301005638516,0.3480301005638516,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,5,5,10,0.751512610254454,0.751512610254454,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.7616990891541912,0.7616990891541912,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-chat,deepseek,5,5,10,0.7490856253209945,0.7490856253209945,1.0
humaneval_001,HumanEval/1,gpt5_model,gpt-5-mini,openai,5,5,10,0.5347294332779313,0.5347294332779313,1.0
humaneval_002,HumanEval/2,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.762114002984019,0.762114002984019,1.0
humaneval_002,HumanEval/2,deepseek_model,deepseek-chat,deepseek,5,5,10,0.40021524394734553,0.40021524394734553,1.0
humaneval_002,HumanEval/2,gpt5_model,gpt-5-mini,openai,5,5,10,0.733458465990412,0.733458465990412,1.0
humaneval_003,HumanEval/3,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.069542635485446,0.069542635485446,1.0
humaneval_003,HumanEval/3,deepseek_model,deepseek-chat,deepseek,5,5,10,0.0,0.0,1.0
humaneval_003,HumanEval/3,gpt5_model,gpt-5-mini,openai,5,5,10,1.1087136281133634,1.1087136281133634,1.0
humaneval_004,HumanEval/4,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.9274096018667783,0.9274096018667783,1.0
humaneval_004,HumanEval/4,deepseek_model,deepseek-chat,deepseek,5,5,10,1.2958300043628763,1.2958300043628763,1.0
humaneval_004,HumanEval/4,gpt5_model,gpt-5-mini,openai,5,5,10,1.6519078674798813,1.6519078674798813,1.0
