file,problem_id,task_id,problem_name,entry_point,model_name,model_id,provider,prompt_name,repeat_idx,ast_status,ast_error_type,ast_error_message,total_nodes,ast_depth,branch_count,loop_count,function_count,control_flow_count,control_flow_ratio,function_names,functional_execution_success,functional_passed,functional_error_type,functional_error_message,ast_success,z_ast_depth,z_branch_count,z_loop_count,z_function_count,z_control_flow_ratio
humaneval_000__claude_model__paraphrase__paraphrase_a__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_a,1,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_a__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_a,2,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_a__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_a,3,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_a__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_a,4,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_a__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_a,5,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_b__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_b,1,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_b__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_b,2,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_b__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_b,3,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_b__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_b,4,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_b__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_b,5,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
