sample_id,task_id,problem_id,model_name,model_id,prompt_name,repeat_idx,original_humaneval_passed,original_execution_success,original_error_type,original_error_message,evalplus_base_status,evalplus_base_fail_tests,evalplus_plus_status,evalplus_plus_fail_tests
humaneval_032__claude_model__basic__r1.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,basic,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__claude_model__basic__r2.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,basic,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__claude_model__basic__r4.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,basic,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__claude_model__concise__r1.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,concise,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__claude_model__concise__r2.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,concise,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__claude_model__concise__r3.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,concise,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__claude_model__concise__r4.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,concise,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__claude_model__concise__r5.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,concise,5,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__claude_model__optimized__r3.json,HumanEval/32,humaneval_032,claude_model,claude-sonnet-4-6,optimized,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__basic__r1.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,basic,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__basic__r2.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,basic,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
