source_file,problem_id,model_name,prompt_name,repeat,legacy_parse_success,loc,sloc,comments,blank,cc_avg,cc_max,cc_sum,halstead_volume,halstead_difficulty,halstead_effort,halstead_vocabulary,halstead_length,halstead_bugs,maintainability_index,token_length,functional_pass
outputs\raw\humaneval_000__claude_model__basic__r1.json,humaneval_000,claude_model,basic,,True,9.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,70.83707985591369,32,
outputs\raw\humaneval_000__claude_model__basic__r2.json,humaneval_000,claude_model,basic,,True,16.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.21435727015015,67,
outputs\raw\humaneval_000__claude_model__basic__r3.json,humaneval_000,claude_model,basic,,True,16.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.21435727015015,67,
outputs\raw\humaneval_000__claude_model__basic__r4.json,humaneval_000,claude_model,basic,,True,9.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,70.83707985591369,32,
outputs\raw\humaneval_000__claude_model__basic__r5.json,humaneval_000,claude_model,basic,,True,16.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.21435727015015,67,
outputs\raw\humaneval_000__claude_model__concise__r1.json,humaneval_000,claude_model,concise,,True,9.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,70.83707985591369,32,
outputs\raw\humaneval_000__claude_model__concise__r2.json,humaneval_000,claude_model,concise,,True,9.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,70.83707985591369,32,
outputs\raw\humaneval_000__claude_model__concise__r3.json,humaneval_000,claude_model,concise,,True,9.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,70.83707985591369,32,
outputs\raw\humaneval_000__claude_model__concise__r4.json,humaneval_000,claude_model,concise,,True,9.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,70.83707985591369,32,
outputs\raw\humaneval_000__claude_model__concise__r5.json,humaneval_000,claude_model,concise,,True,9.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,70.83707985591369,32,
outputs\raw\humaneval_000__claude_model__constraint__r1.json,humaneval_000,claude_model,constraint,,True,16.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.21435727015015,67,
outputs\raw\humaneval_000__claude_model__constraint__r2.json,humaneval_000,claude_model,constraint,,True,16.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.21435727015015,67,
outputs\raw\humaneval_000__claude_model__constraint__r3.json,humaneval_000,claude_model,constraint,,True,16.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.21435727015015,67,
