file,problem_id,task_id,problem_name,entry_point,model_name,model_id,provider,prompt_name,repeat_idx,ast_status,ast_error_type,ast_error_message,total_nodes,ast_depth,branch_count,loop_count,function_count,control_flow_count,control_flow_ratio,function_names,functional_execution_success,functional_passed,functional_error_type,functional_error_message,functional_traceback,ast_success,z_ast_depth,z_branch_count,z_loop_count,z_function_count,z_control_flow_ratio
humaneval_000__claude_model__basic__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,basic,1,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.39226022337983696
humaneval_000__claude_model__basic__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,basic,2,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.32291231245650875
humaneval_000__claude_model__basic__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,basic,3,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.32291231245650875
humaneval_000__claude_model__basic__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,basic,4,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.39226022337983696
humaneval_000__claude_model__basic__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,basic,5,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.32291231245650875
humaneval_000__claude_model__concise__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,concise,1,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.39226022337983696
humaneval_000__claude_model__concise__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,concise,2,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.39226022337983696
humaneval_000__claude_model__concise__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,concise,3,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.39226022337983696
humaneval_000__claude_model__concise__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,concise,4,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.39226022337983696
humaneval_000__claude_model__concise__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,concise,5,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.39226022337983696
humaneval_000__claude_model__constraint__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,constraint,1,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.32291231245650875
humaneval_000__claude_model__constraint__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,constraint,2,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.32291231245650875
humaneval_000__claude_model__constraint__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,constraint,3,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.32291231245650875
humaneval_000__claude_model__constraint__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,constraint,4,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.32291231245650875
humaneval_000__claude_model__constraint__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,constraint,5,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.32291231245650875
humaneval_000__claude_model__optimized__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,optimized,1,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.04670849192258794
humaneval_000__claude_model__optimized__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,optimized,2,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.04670849192258794
humaneval_000__claude_model__optimized__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,optimized,3,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.04670849192258794
humaneval_000__claude_model__optimized__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,optimized,4,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.04670849192258794
humaneval_000__claude_model__optimized__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,optimized,5,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.04670849192258794
humaneval_000__claude_model__readable__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,readable,1,success,,,77.0,10.0,1.0,2.0,1.0,5.0,0.064935,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.1653859999359613
humaneval_000__claude_model__readable__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,readable,2,success,,,77.0,10.0,1.0,2.0,1.0,5.0,0.064935,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.1653859999359613
humaneval_000__claude_model__readable__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,readable,3,success,,,77.0,10.0,1.0,2.0,1.0,5.0,0.064935,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.1653859999359613
humaneval_000__claude_model__readable__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,readable,4,success,,,77.0,10.0,1.0,2.0,1.0,5.0,0.064935,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.1653859999359613
humaneval_000__claude_model__readable__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,readable,5,success,,,77.0,10.0,1.0,2.0,1.0,5.0,0.064935,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.1653859999359613
humaneval_000__deepseek_model__basic__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,basic,1,success,,,66.0,11.0,1.0,1.0,1.0,4.0,0.060606,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.014148162965136045
humaneval_000__deepseek_model__basic__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,basic,2,success,,,66.0,11.0,1.0,1.0,1.0,4.0,0.060606,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.014148162965136045
