problem_id,task_id,model_name,model_id,provider,num_prompt_types,num_valid_prompt_vectors,num_prompt_pairs,avg_prompt_distance,pssi,success_rate
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.6277073407710537,0.6277073407710537,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-chat,deepseek,5,5,10,0.3486294638345927,0.3486294638345927,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,5,5,10,0.7591414525336252,0.7591414525336252,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.7709391566594959,0.7709391566594959,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-chat,deepseek,5,5,10,0.7602179482680296,0.7602179482680296,1.0
humaneval_001,HumanEval/1,gpt5_model,gpt-5-mini,openai,5,5,10,0.5361090899093077,0.5361090899093077,1.0
humaneval_002,HumanEval/2,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.7679189705767737,0.7679189705767737,1.0
humaneval_002,HumanEval/2,deepseek_model,deepseek-chat,deepseek,5,5,10,0.4042050914871809,0.4042050914871809,1.0
humaneval_002,HumanEval/2,gpt5_model,gpt-5-mini,openai,5,5,10,0.7334515288717227,0.7334515288717227,1.0
humaneval_003,HumanEval/3,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.06991387372280329,0.06991387372280329,1.0
humaneval_003,HumanEval/3,deepseek_model,deepseek-chat,deepseek,5,5,10,0.0,0.0,1.0
humaneval_003,HumanEval/3,gpt5_model,gpt-5-mini,openai,5,5,10,1.120643076291184,1.120643076291184,1.0
humaneval_004,HumanEval/4,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.930654216938899,0.930654216938899,1.0
humaneval_004,HumanEval/4,deepseek_model,deepseek-chat,deepseek,5,5,10,1.2944269528691197,1.2944269528691197,1.0
humaneval_004,HumanEval/4,gpt5_model,gpt-5-mini,openai,5,5,10,1.6281243225271063,1.6281243225271063,1.0
humaneval_005,HumanEval/5,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.03360142102068352,0.03360142102068352,1.0
humaneval_005,HumanEval/5,deepseek_model,deepseek-chat,deepseek,5,5,10,0.4679331782320009,0.4679331782320009,1.0
humaneval_005,HumanEval/5,gpt5_model,gpt-5-mini,openai,5,5,10,0.8573595708341843,0.8573595708341843,1.0
humaneval_006,HumanEval/6,claude_model,claude-sonnet-4-6,anthropic,5,5,10,1.7530099567167698,1.7530099567167698,1.0
humaneval_006,HumanEval/6,deepseek_model,deepseek-chat,deepseek,5,5,10,0.016438075086974445,0.016438075086974445,1.0
humaneval_006,HumanEval/6,gpt5_model,gpt-5-mini,openai,5,5,10,0.379974546517529,0.379974546517529,1.0
humaneval_007,HumanEval/7,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.7000614304464684,0.7000614304464684,1.0
humaneval_007,HumanEval/7,deepseek_model,deepseek-chat,deepseek,5,5,10,0.7744569693870607,0.7744569693870607,1.0
humaneval_007,HumanEval/7,gpt5_model,gpt-5-mini,openai,5,5,10,1.2292017213395199,1.2292017213395199,1.0
humaneval_008,HumanEval/8,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.64934063191737,0.64934063191737,1.0
humaneval_008,HumanEval/8,deepseek_model,deepseek-chat,deepseek,5,5,10,0.6030648751434715,0.6030648751434715,1.0
humaneval_008,HumanEval/8,gpt5_model,gpt-5-mini,openai,5,5,10,0.7155183255251436,0.7155183255251436,1.0
humaneval_009,HumanEval/9,claude_model,claude-sonnet-4-6,anthropic,5,5,10,0.6503207074303884,0.6503207074303884,1.0
humaneval_009,HumanEval/9,deepseek_model,deepseek-chat,deepseek,5,5,10,0.02279921746527146,0.02279921746527146,1.0
humaneval_009,HumanEval/9,gpt5_model,gpt-5-mini,openai,5,5,10,0.5382275670293369,0.5382275670293369,1.0
