problem_id,task_id,model_name,model_id,provider,num_samples,num_valid_vectors,structural_variance,sds,success_rate
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,25,25,0.00023508068117926,0.034256718471664296,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-flash,deepseek,25,25,0.06782731459160962,0.5822651500939048,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,25,25,0.06541805088165799,0.43379539377372756,0.96
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,25,25,0.0,0.0,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-flash,deepseek,25,25,0.06949966547594143,0.5498461953567058,1.0
humaneval_001,HumanEval/1,gpt5_model,gpt-5-mini,openai,25,25,0.16526865849901312,0.8066139195125043,1.0
humaneval_002,HumanEval/2,claude_model,claude-sonnet-4-6,anthropic,25,25,0.004695671281348096,0.15211925609364327,1.0
humaneval_002,HumanEval/2,deepseek_model,deepseek-flash,deepseek,25,25,0.013896191439739547,0.20597598962226008,1.0
humaneval_002,HumanEval/2,gpt5_model,gpt-5-mini,openai,25,25,0.14721195879213797,0.8025970366651647,0.92
humaneval_003,HumanEval/3,claude_model,claude-sonnet-4-6,anthropic,25,25,6.162975822039155e-34,5.551115123125783e-17,1.0
humaneval_003,HumanEval/3,deepseek_model,deepseek-flash,deepseek,25,25,6.162975822039155e-34,5.551115123125783e-17,1.0
humaneval_003,HumanEval/3,gpt5_model,gpt-5-mini,openai,25,25,0.16582883577943797,0.8622001556845578,1.0
humaneval_004,HumanEval/4,claude_model,claude-sonnet-4-6,anthropic,25,25,9.860761315262648e-33,2.220446049250313e-16,1.0
humaneval_004,HumanEval/4,deepseek_model,deepseek-flash,deepseek,25,25,6.162975822039155e-34,5.551115123125783e-17,1.0
humaneval_004,HumanEval/4,gpt5_model,gpt-5-mini,openai,25,25,0.24400813335612148,1.0741888896611542,1.0
humaneval_005,HumanEval/5,claude_model,claude-sonnet-4-6,anthropic,25,25,9.82739392053382e-05,0.017733488248426545,1.0
humaneval_005,HumanEval/5,deepseek_model,deepseek-flash,deepseek,25,25,6.162975822039155e-34,5.551115123125783e-17,1.0
humaneval_005,HumanEval/5,gpt5_model,gpt-5-mini,openai,25,25,0.07577076039820876,0.5375382372937438,1.0
humaneval_006,HumanEval/6,claude_model,claude-sonnet-4-6,anthropic,25,25,0.36272108121049573,1.216760869346465,1.0
humaneval_006,HumanEval/6,deepseek_model,deepseek-flash,deepseek,25,25,0.0,0.0,1.0
humaneval_006,HumanEval/6,gpt5_model,gpt-5-mini,openai,25,25,0.06463646084860405,0.42520461497917045,1.0
humaneval_007,HumanEval/7,claude_model,claude-sonnet-4-6,anthropic,25,25,2.465190328815662e-33,1.1102230246251565e-16,1.0
humaneval_007,HumanEval/7,deepseek_model,deepseek-flash,deepseek,25,25,2.465190328815662e-33,1.1102230246251565e-16,1.0
humaneval_007,HumanEval/7,gpt5_model,gpt-5-mini,openai,25,25,0.0930277749024713,0.6348375134869859,1.0
humaneval_008,HumanEval/8,claude_model,claude-sonnet-4-6,anthropic,25,25,1.4944586751331471e-05,0.0033878374555198045,1.0
humaneval_008,HumanEval/8,deepseek_model,deepseek-flash,deepseek,25,25,0.0,0.0,1.0
humaneval_008,HumanEval/8,gpt5_model,gpt-5-mini,openai,25,25,0.07622295038220976,0.5947076660527586,1.0
humaneval_009,HumanEval/9,claude_model,claude-sonnet-4-6,anthropic,25,25,2.465227944634888e-33,1.1102314949223176e-16,1.0
humaneval_009,HumanEval/9,deepseek_model,deepseek-flash,deepseek,25,25,2.465227944634888e-33,1.1102314949223176e-16,1.0
humaneval_009,HumanEval/9,gpt5_model,gpt-5-mini,openai,25,25,0.04364053634673305,0.4331137226836346,1.0
humaneval_010,HumanEval/10,claude_model,claude-sonnet-4-6,anthropic,25,25,3.76158192263132e-38,4.336808689942018e-19,1.0
humaneval_010,HumanEval/10,deepseek_model,deepseek-flash,deepseek,25,25,0.005779363510802976,0.09372007452716107,1.0
humaneval_010,HumanEval/10,gpt5_model,gpt-5-mini,openai,25,25,0.055250605874109,0.45250517815885033,1.0
humaneval_011,HumanEval/11,claude_model,claude-sonnet-4-6,anthropic,25,25,0.03603350360090114,0.2322362634547529,1.0
humaneval_011,HumanEval/11,deepseek_model,deepseek-flash,deepseek,25,25,1.232595164407831e-33,7.850462293418876e-17,1.0
humaneval_011,HumanEval/11,gpt5_model,gpt-5-mini,openai,25,25,0.2675025985315362,1.0476283808403966,1.0
humaneval_012,HumanEval/12,claude_model,claude-sonnet-4-6,anthropic,25,25,1.0477058897466563e-32,2.288783399261118e-16,1.0
humaneval_012,HumanEval/12,deepseek_model,deepseek-flash,deepseek,25,25,0.0003776189253889812,0.023576578593438424,1.0
humaneval_012,HumanEval/12,gpt5_model,gpt-5-mini,openai,25,25,0.05084345922814454,0.38557999426539885,1.0
humaneval_013,HumanEval/13,claude_model,claude-sonnet-4-6,anthropic,25,25,0.00040844672263356814,0.036152863129044394,1.0
humaneval_013,HumanEval/13,deepseek_model,deepseek-flash,deepseek,25,25,9.790806128747936e-05,0.020642090076421774,1.0
humaneval_013,HumanEval/13,gpt5_model,gpt-5-mini,openai,25,25,0.17434581145305245,0.7658180188098923,1.0
humaneval_014,HumanEval/14,claude_model,claude-sonnet-4-6,anthropic,25,25,0.0,0.0,1.0
humaneval_014,HumanEval/14,deepseek_model,deepseek-flash,deepseek,25,25,0.0,0.0,1.0
humaneval_014,HumanEval/14,gpt5_model,gpt-5-mini,openai,25,25,0.07501084118790988,0.5853918018795046,1.0
humaneval_015,HumanEval/15,claude_model,claude-sonnet-4-6,anthropic,25,25,0.0,0.0,1.0
humaneval_015,HumanEval/15,deepseek_model,deepseek-flash,deepseek,25,25,0.0,0.0,1.0
humaneval_015,HumanEval/15,gpt5_model,gpt-5-mini,openai,25,25,0.0413693761955644,0.4026707573860483,1.0
humaneval_016,HumanEval/16,claude_model,claude-sonnet-4-6,anthropic,25,25,0.0012166336268592932,0.07743106943057546,1.0
humaneval_016,HumanEval/16,deepseek_model,deepseek-flash,deepseek,25,25,0.0,0.0,1.0
humaneval_016,HumanEval/16,gpt5_model,gpt-5-mini,openai,25,25,0.07593937390683927,0.5563407448607784,1.0
humaneval_017,HumanEval/17,claude_model,claude-sonnet-4-6,anthropic,25,25,0.011944049081088554,0.09577593483895624,1.0
